[GC (Allocation Failure) [PSYoungGen: 262144K->43516K(305664K)] 262144K->87362K(1005056K), 0.0281860 secs] [Times: user=0.02 sys=0.11, real=0.03 secs]
[GC (Allocation Failure) [PSYoungGen: 305660K->43511K(305664K)] 349506K->161635K(1005056K), 0.0313958 secs] [Times: user=0.02 sys=0.14, real=0.03 secs]
[GC (Allocation Failure) [PSYoungGen: 305655K->43509K(305664K)] 423779K->237167K(1005056K), 0.0266696 secs] [Times: user=0.03 sys=0.09, real=0.03 secs]
[GC (Allocation Failure) [PSYoungGen: 305463K->43517K(305664K)] 499120K->306368K(1005056K), 0.0246385 secs] [Times: user=0.03 sys=0.09, real=0.02 secs]
[GC (Allocation Failure) [PSYoungGen: 305661K->43519K(305664K)] 568512K->382118K(1005056K), 0.0306595 secs] [Times: user=0.03 sys=0.10, real=0.03 secs]
[GC (Allocation Failure) [PSYoungGen: 305663K->43512K(160256K)] 644262K->457201K(859648K), 0.0217698 secs] [Times: user=0.03 sys=0.08, real=0.02 secs]
[GC (Allocation Failure) [PSYoungGen: 160248K->74425K(232960K)] 573937K->495461K(932352K), 0.0062660 secs] [Times: user=0.03 sys=0.01, real=0.01 secs]
[GC (Allocation Failure) [PSYoungGen: 191161K->94948K(232960K)] 612197K->522587K(932352K), 0.0074846 secs] [Times: user=0.03 sys=0.02, real=0.01 secs]
[GC (Allocation Failure) [PSYoungGen: 211684K->105384K(232960K)] 639323K->550775K(932352K), 0.0168349 secs] [Times: user=0.04 sys=0.04, real=0.02 secs]
[GC (Allocation Failure) [PSYoungGen: 221815K->68826K(232960K)] 667206K->578923K(932352K), 0.0259048 secs] [Times: user=0.02 sys=0.07, real=0.02 secs]
[GC (Allocation Failure) [PSYoungGen: 185562K->42182K(232960K)] 695659K->615581K(932352K), 0.0254740 secs] [Times: user=0.02 sys=0.08, real=0.02 secs]
[GC (Allocation Failure) [PSYoungGen: 158421K->42524K(232960K)] 731820K->653603K(932352K), 0.0173953 secs] [Times: user=0.03 sys=0.04, real=0.02 secs]
[Full GC (Ergonomics) [PSYoungGen: 42524K->0K(232960K)] [ParOldGen: 611079K->325219K(699392K)] 653603K->325219K(932352K), [Metaspace: 2789K->2789K(1056768K)], 0.0412710 secs] [Times: user=0.12 sys=0.13, real=0.04 secs]
[GC (Allocation Failure) [PSYoungGen: 116736K->40155K(232960K)] 441955K->365374K(932352K), 0.0036864 secs] [Times: user=0.03 sys=0.00, real=0.00 secs]
[GC (Allocation Failure) [PSYoungGen: 156802K->41543K(232960K)] 482021K->402828K(932352K), 0.0049788 secs] [Times: user=0.03 sys=0.01, real=0.01 secs]
[GC (Allocation Failure) [PSYoungGen: 158279K->43099K(232960K)] 519564K->442815K(932352K), 0.0052973 secs] [Times: user=0.03 sys=0.00, real=0.01 secs]
[GC (Allocation Failure) [PSYoungGen: 159750K->35081K(232960K)] 559466K->473673K(932352K), 0.0052557 secs] [Times: user=0.03 sys=0.01, real=0.00 secs]
[GC (Allocation Failure) [PSYoungGen: 151817K->41476K(232960K)] 590409K->512154K(932352K), 0.0055212 secs] [Times: user=0.03 sys=0.00, real=0.00 secs]
[GC (Allocation Failure) [PSYoungGen: 158012K->37818K(232960K)] 628690K->545297K(932352K), 0.0051870 secs] [Times: user=0.04 sys=0.00, real=0.01 secs]
[GC (Allocation Failure) [PSYoungGen: 154554K->40836K(232960K)] 662033K->582592K(932352K), 0.0051241 secs] [Times: user=0.04 sys=0.01, real=0.01 secs]
[GC (Allocation Failure) [PSYoungGen: 157572K->44323K(232960K)] 699328K->623682K(932352K), 0.0060946 secs] [Times: user=0.04 sys=0.00, real=0.00 secs]
[GC (Allocation Failure) [PSYoungGen: 161059K->41500K(232960K)] 740418K->661277K(932352K), 0.0070712 secs] [Times: user=0.03 sys=0.01, real=0.00 secs]
[GC (Allocation Failure) [PSYoungGen: 158009K->36696K(232960K)] 777786K->693175K(932352K), 0.0114468 secs] [Times: user=0.01 sys=0.04, real=0.01 secs]
[Full GC (Ergonomics) [PSYoungGen: 36696K->0K(232960K)] [ParOldGen: 656478K->380502K(699392K)] 693175K->380502K(932352K), [Metaspace: 2789K->2789K(1056768K)], 0.0293515 secs] [Times: user=0.13 sys=0.02, real=0.03 secs]
[GC (Allocation Failure) [PSYoungGen: 116736K->41555K(232960K)] 497238K->422057K(932352K), 0.0029876 secs] [Times: user=0.02 sys=0.00, real=0.01 secs]
[GC (Allocation Failure) [PSYoungGen: 158291K->41842K(232960K)] 538793K->459663K(932352K), 0.0052134 secs] [Times: user=0.04 sys=0.00, real=0.00 secs]
[GC (Allocation Failure) [PSYoungGen: 158578K->41778K(232960K)] 576399K->496663K(932352K), 0.0062370 secs] [Times: user=0.05 sys=0.00, real=0.00 secs]
[GC (Allocation Failure) [PSYoungGen: 158514K->40216K(236032K)] 613399K->530922K(935424K), 0.0054214 secs] [Times: user=0.03 sys=0.00, real=0.00 secs]
[GC (Allocation Failure) [PSYoungGen: 160016K->39195K(232960K)] 650721K->566227K(932352K), 0.0059854 secs] [Times: user=0.04 sys=0.01, real=0.01 secs]
